route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
755-202,Weekday-1,233-75504-60300-2-4cbf8bf6,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,Saturday-1,233-75504-60300-2-4f844386,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,Weekday-1,233-75504-61500-2-4cbf8bf6,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,Sunday-1,233-75504-62100-2-3c1df7bc,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
24B-202,Weekday-1,24-02403-30840-2-054193f0,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
24B-202,Saturday-1,24-02403-30900-2-26006adf,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
24B-202,Sunday-1,24-02403-30900-2-a51dec24,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
24B-202,Weekday-1,24-02403-32040-2-1dc5ee2b,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
24B-202,Saturday-1,24-02403-32700-2-26006adf,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
755-202,Saturday-1,233-75504-62100-2-4f844386,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,Weekday-1,233-75504-62700-2-4cbf8bf6,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,Sunday-1,233-75504-63900-2-3c1df7bc,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,Saturday-1,233-75504-63900-2-4f844386,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
24B-202,Sunday-1,24-02403-32700-2-a9810323,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
24B-202,Weekday-1,24-02403-32820-2-75d5b9c3,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
24B-202,Weekday-1,24-02403-33840-2-12599782,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
24B-202,Saturday-1,24-02403-34500-2-26006adf,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
24B-202,Sunday-1,24-02403-34500-2-a9810323,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
755-202,Weekday-1,233-75504-63900-2-f1746ace,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,Weekday-1,233-75504-65100-2-3c1df7bc,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,Sunday-1,233-75504-65700-2-3c1df7bc,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,Saturday-1,233-75504-65700-2-4f844386,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
24B-202,Weekday-1,24-02403-35160-2-7612ac87,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
24B-202,Saturday-1,24-02403-36300-2-53c48377,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
24B-202,Sunday-1,24-02403-36300-2-95da2b82,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
24B-202,Weekday-1,24-02403-36360-2-7612ac87,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
24B-202,Weekday-1,24-02403-37560-2-7612ac87,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
755-202,Weekday-1,233-75504-66300-2-3c1df7bc,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,Sunday-1,233-75504-67500-2-3c1df7bc,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,ExSun-1,233-75504-67500-2-4f844386,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,Weekday-1,233-75504-69300-2-4f844386,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
24B-202,Saturday-1,24-02403-38100-2-71a6a8d5,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
24B-202,Sunday-1,24-02403-38100-2-b364133e,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
24B-202,Weekday-1,24-02403-38760-2-7612ac87,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
24B-202,Saturday-1,24-02403-39900-2-71a6a8d5,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
24B-202,Sunday-1,24-02403-39900-2-b364133e,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
755-202,Sunday-1,233-75504-71100-2-3c1df7bc,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,Saturday-1,233-75504-71100-2-93697d7b,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,Weekday-1,233-75504-71100-2-a159684c,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,Weekday-1,233-75504-74700-2-4f338745,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
24B-202,Weekday-1,24-02403-39960-2-7612ac87,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
24B-202,Saturday-1,24-02403-41700-2-71a6a8d5,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
24B-202,Sunday-1,24-02403-41700-2-e4a1e037,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
